time,ac-x,ac-y,ac-z,gyr-x,gyr-y,gyr-z
2020-02-12 13:31:07.902,-3.300537,4.535645,-1.087646,3.082275,30.059813,61.767574
2020-02-12 13:31:07.904,-3.196289,4.440186,-1.017334,-4.394531,23.895262,72.082520
2020-02-12 13:31:07.907,-3.072998,4.357666,-0.941406,-12.237548,19.622803,82.275383
2020-02-12 13:31:07.909,-2.938232,4.290283,-0.864746,-20.019531,15.930175,92.315666
2020-02-12 13:31:07.912,-2.803711,4.232422,-0.786377,-26.489256,14.526366,99.487297
2020-02-12 13:31:07.914,-2.684570,4.190186,-0.709473,-30.426023,11.840819,105.316154
2020-02-12 13:31:07.917,-2.592285,4.164063,-0.642334,-33.996582,10.620116,110.656731
2020-02-12 13:31:07.920,-2.520996,4.140869,-0.584717,-37.902832,9.643555,114.410393
2020-02-12 13:31:07.922,-2.458740,4.110840,-0.533691,-40.649410,7.934570,113.159172
2020-02-12 13:31:07.925,-2.396484,4.073975,-0.485596,-42.053219,7.171630,106.170647
2020-02-12 13:31:07.927,-2.336426,4.031738,-0.442627,-42.053219,7.080078,96.527092
2020-02-12 13:31:07.929,-2.282715,3.988281,-0.405029,-40.893551,8.300781,86.547844
2020-02-12 13:31:07.932,-2.231445,3.947266,-0.376953,-39.367676,9.582520,76.171875
2020-02-12 13:31:07.934,-2.196289,3.907959,-0.356934,-40.191647,12.054442,68.267822
2020-02-12 13:31:07.937,-2.176270,3.856201,-0.344727,-41.534420,13.244628,61.096188
2020-02-12 13:31:07.939,-2.152344,3.792236,-0.335938,-40.740963,14.190673,50.262447
2020-02-12 13:31:07.942,-2.117676,3.718262,-0.326172,-40.222164,13.519286,36.529541
2020-02-12 13:31:07.944,-2.079346,3.629639,-0.312744,-40.557858,11.779784,23.925779
2020-02-12 13:31:07.947,-2.033203,3.531006,-0.291504,-41.381832,7.873535,11.779784
2020-02-12 13:31:07.949,-1.986328,3.426025,-0.263428,-45.623775,2.166748,-0.396728
2020-02-12 13:31:07.952,-1.947754,3.308838,-0.232178,-51.116940,-3.845215,-8.636475
2020-02-12 13:31:07.954,-1.917236,3.185303,-0.200439,-56.488033,-7.537841,-15.045165
2020-02-12 13:31:07.957,-1.894287,3.054443,-0.166504,-60.516354,-10.375976,-21.972654
2020-02-12 13:31:07.960,-1.871338,2.920410,-0.132080,-63.476559,-12.878417,-27.587889
2020-02-12 13:31:07.962,-1.849609,2.781250,-0.099854,-68.084717,-14.953612,-32.470703
2020-02-12 13:31:07.965,-1.826172,2.641846,-0.067383,-73.089600,-17.517090,-34.454346
2020-02-12 13:31:07.967,-1.803955,2.508545,-0.037354,-75.958252,-18.524170,-35.491943
2020-02-12 13:31:07.970,-1.784180,2.379639,-0.010010,-79.528809,-19.866943,-34.576416
2020-02-12 13:31:07.972,-1.766602,2.258301,0.010986,-83.740227,-20.385740,-29.571531
2020-02-12 13:31:07.974,-1.743164,2.141602,0.028809,-87.646477,-21.179197,-22.125242
2020-02-12 13:31:07.977,-1.712402,2.033691,0.048828,-91.064445,-21.636961,-14.495849
2020-02-12 13:31:07.980,-1.674072,1.948242,0.076172,-94.543449,-21.972654,-5.828857
2020-02-12 13:31:07.982,-1.643066,1.889404,0.102295,-98.205559,-23.406981,7.751464
2020-02-12 13:31:07.984,-1.624023,1.851318,0.128174,-104.492180,-25.604246,25.360106
2020-02-12 13:31:07.987,-1.620850,1.836914,0.153076,-111.938469,-26.062010,46.752926
2020-02-12 13:31:07.989,-1.614746,1.857422,0.187012,-117.919914,-27.160643,65.246582
2020-02-12 13:31:07.992,-1.603516,1.885254,0.199951,-124.023430,-27.130125,76.629639
2020-02-12 13:31:07.994,-1.600586,1.908691,0.185303,-124.328606,-23.223875,86.364738
2020-02-12 13:31:07.997,-1.592773,1.934326,0.166504,-121.643059,-19.195557,90.545647
2020-02-12 13:31:08.000,-1.574219,1.970703,0.151611,-116.363518,-17.364502,87.951653
2020-02-12 13:31:08.002,-1.571533,1.999512,0.130371,-113.830559,-16.998291,80.963127
2020-02-12 13:31:08.005,-1.559326,2.028076,0.105225,-111.389153,-20.050049,67.749023
2020-02-12 13:31:08.007,-1.520752,2.070557,0.089355,-106.689445,-23.773191,56.762691
2020-02-12 13:31:08.010,-1.508545,2.102783,0.080811,-108.215324,-26.580809,49.346920
2020-02-12 13:31:08.012,-1.525391,2.133789,0.076416,-110.687248,-27.648924,41.015621
2020-02-12 13:31:08.014,-1.561523,2.150635,0.068604,-108.489983,-26.123045,30.822752
2020-02-12 13:31:08.017,-1.603027,2.151123,0.055908,-102.020256,-23.803709,16.754150
2020-02-12 13:31:08.020,-1.628418,2.130615,0.034912,-95.825188,-22.735594,-2.624511
2020-02-12 13:31:08.022,-1.624268,2.076416,0.009033,-89.477531,-20.660398,-24.719236
2020-02-12 13:31:08.024,-1.590820,1.990723,-0.015625,-82.794182,-17.822266,-45.837399
2020-02-12 13:31:08.027,-1.542969,1.889404,-0.028320,-76.477051,-13.549804,-65.338135
2020-02-12 13:31:08.029,-1.459961,1.763916,-0.033447,-72.357178,-11.627196,-85.845940
2020-02-12 13:31:08.032,-1.354492,1.625000,-0.047363,-70.159912,-11.413573,-101.440422
2020-02-12 13:31:08.034,-1.248291,1.479736,-0.069336,-69.732666,-12.664794,-111.419670
2020-02-12 13:31:08.037,-1.153320,1.331055,-0.091553,-71.960449,-12.847899,-116.760246
2020-02-12 13:31:08.039,-1.071045,1.192627,-0.111084,-73.974609,-14.160155,-118.591301
2020-02-12 13:31:08.042,-1.011230,1.062744,-0.133301,-76.934814,-14.221190,-116.546623
2020-02-12 13:31:08.045,-0.967285,0.945801,-0.156006,-80.505363,-14.587401,-109.985344
2020-02-12 13:31:08.047,-0.947266,0.850586,-0.175781,-82.916252,-15.502929,-101.287834
2020-02-12 13:31:08.050,-0.943115,0.755127,-0.202637,-87.188713,-16.082764,-95.855705
2020-02-12 13:31:08.052,-0.961670,0.687500,-0.228027,-88.623039,-16.479492,-88.989250
2020-02-12 13:31:08.055,-0.985840,0.629150,-0.253662,-91.827385,-17.089844,-81.451408
2020-02-12 13:31:08.057,-0.998779,0.568848,-0.276611,-94.604485,-19.439697,-77.636719
2020-02-12 13:31:08.059,-1.008789,0.506348,-0.298828,-96.343987,-21.057127,-74.005127
2020-02-12 13:31:08.062,-1.023438,0.449951,-0.317383,-97.564690,-20.996092,-68.847656
